period,respondent,fueltype,value
2021-01-01T00,ERCO,SUN,48
2021-01-01T01,ERCO,SUN,1
2021-01-01T02,ERCO,SUN,0
2021-01-01T03,ERCO,SUN,0
2021-01-01T04,ERCO,SUN,0
2021-01-01T05,ERCO,SUN,0
2021-01-01T06,ERCO,SUN,0
2021-01-01T07,ERCO,SUN,0
2021-01-01T08,ERCO,SUN,0
2021-01-01T09,ERCO,SUN,0
2021-01-01T10,ERCO,SUN,0
2021-01-01T11,ERCO,SUN,0
2021-01-01T12,ERCO,SUN,0
2021-01-01T13,ERCO,SUN,0
2021-01-01T14,ERCO,SUN,5
2021-01-01T15,ERCO,SUN,633
2021-01-01T16,ERCO,SUN,1975
2021-01-01T17,ERCO,SUN,2682
2021-01-01T18,ERCO,SUN,2843
2021-01-01T19,ERCO,SUN,2831
2021-01-01T20,ERCO,SUN,2764
2021-01-01T21,ERCO,SUN,2605
2021-01-01T22,ERCO,SUN,2778
2021-01-01T23,ERCO,SUN,1761
2021-01-02T00,ERCO,SUN,290
2021-01-02T01,ERCO,SUN,0
2021-01-02T02,ERCO,SUN,0
2021-01-02T03,ERCO,SUN,0
2021-01-02T04,ERCO,SUN,0
2021-01-02T05,ERCO,SUN,0
2021-01-02T06,ERCO,SUN,0
2021-01-02T07,ERCO,SUN,0
2021-01-02T08,ERCO,SUN,0
2021-01-02T09,ERCO,SUN,0
2021-01-02T10,ERCO,SUN,0
2021-01-02T11,ERCO,SUN,0
2021-01-02T12,ERCO,SUN,0
2021-01-02T13,ERCO,SUN,0
2021-01-02T14,ERCO,SUN,11
2021-01-02T15,ERCO,SUN,982
2021-01-02T16,ERCO,SUN,2977
2021-01-02T17,ERCO,SUN,3454
2021-01-02T18,ERCO,SUN,3405
2021-01-02T19,ERCO,SUN,3422
2021-01-02T20,ERCO,SUN,3459
2021-01-02T21,ERCO,SUN,3606
2021-01-02T22,ERCO,SUN,3679
2021-01-02T23,ERCO,SUN,2739
2021-01-03T00,ERCO,SUN,483
2021-01-03T01,ERCO,SUN,0
2021-01-03T02,ERCO,SUN,0
2021-01-03T03,ERCO,SUN,0
2021-01-03T04,ERCO,SUN,0
2021-01-03T05,ERCO,SUN,0
2021-01-03T06,ERCO,SUN,0
2021-01-03T07,ERCO,SUN,0
2021-01-03T08,ERCO,SUN,0
2021-01-03T09,ERCO,SUN,0
2021-01-03T10,ERCO,SUN,0
2021-01-03T11,ERCO,SUN,0
2021-01-03T12,ERCO,SUN,0
2021-01-03T13,ERCO,SUN,0
2021-01-03T14,ERCO,SUN,17
2021-01-03T15,ERCO,SUN,1105
2021-01-03T16,ERCO,SUN,3231
2021-01-03T17,ERCO,SUN,3564
2021-01-03T18,ERCO,SUN,3516
2021-01-03T19,ERCO,SUN,3444
2021-01-03T20,ERCO,SUN,3497
2021-01-03T21,ERCO,SUN,3635
2021-01-03T22,ERCO,SUN,3625
2021-01-03T23,ERCO,SUN,2394
2021-01-04T00,ERCO,SUN,406
2021-01-04T01,ERCO,SUN,0
2021-01-04T02,ERCO,SUN,0
2021-01-04T03,ERCO,SUN,0
2021-01-04T04,ERCO,SUN,0
2021-01-04T05,ERCO,SUN,0
2021-01-04T06,ERCO,SUN,0
2021-01-04T07,ERCO,SUN,0
2021-01-04T08,ERCO,SUN,0
2021-01-04T09,ERCO,SUN,0
2021-01-04T10,ERCO,SUN,0
2021-01-04T11,ERCO,SUN,0
2021-01-04T12,ERCO,SUN,0
2021-01-04T13,ERCO,SUN,0
2021-01-04T14,ERCO,SUN,8
2021-01-04T15,ERCO,SUN,1106
2021-01-04T16,ERCO,SUN,3263
2021-01-04T17,ERCO,SUN,3542
2021-01-04T18,ERCO,SUN,3461
2021-01-04T19,ERCO,SUN,3405
2021-01-04T20,ERCO,SUN,3475
2021-01-04T21,ERCO,SUN,3644
2021-01-04T22,ERCO,SUN,3685
2021-01-04T23,ERCO,SUN,2783
2021-01-05T00,ERCO,SUN,524
2021-01-05T01,ERCO,SUN,0
2021-01-05T02,ERCO,SUN,0
2021-01-05T03,ERCO,SUN,0
2021-01-05T04,ERCO,SUN,0
2021-01-05T05,ERCO,SUN,0
2021-01-05T06,ERCO,SUN,0
2021-01-05T07,ERCO,SUN,0
2021-01-05T08,ERCO,SUN,0
2021-01-05T09,ERCO,SUN,0
2021-01-05T10,ERCO,SUN,0
2021-01-05T11,ERCO,SUN,0
2021-01-05T12,ERCO,SUN,0
2021-01-05T13,ERCO,SUN,0
2021-01-05T14,ERCO,SUN,9
2021-01-05T15,ERCO,SUN,940
2021-01-05T16,ERCO,SUN,2812
2021-01-05T17,ERCO,SUN,3153
2021-01-05T18,ERCO,SUN,3084
2021-01-05T19,ERCO,SUN,3050
2021-01-05T20,ERCO,SUN,3182
2021-01-05T21,ERCO,SUN,3008
2021-01-05T22,ERCO,SUN,2445
2021-01-05T23,ERCO,SUN,1211
2021-01-06T00,ERCO,SUN,203
2021-01-06T01,ERCO,SUN,0
2021-01-06T02,ERCO,SUN,0
2021-01-06T03,ERCO,SUN,0
2021-01-06T04,ERCO,SUN,0
2021-01-06T05,ERCO,SUN,0
2021-01-06T06,ERCO,SUN,0
2021-01-06T07,ERCO,SUN,0
2021-01-06T08,ERCO,SUN,0
2021-01-06T09,ERCO,SUN,0
2021-01-06T10,ERCO,SUN,0
2021-01-06T11,ERCO,SUN,0
2021-01-06T12,ERCO,SUN,0
2021-01-06T13,ERCO,SUN,0
2021-01-06T14,ERCO,SUN,4
2021-01-06T15,ERCO,SUN,782
2021-01-06T16,ERCO,SUN,1836
2021-01-06T17,ERCO,SUN,965
2021-01-06T18,ERCO,SUN,1087
2021-01-06T19,ERCO,SUN,1196
2021-01-06T20,ERCO,SUN,1042
2021-01-06T21,ERCO,SUN,1134
2021-01-06T22,ERCO,SUN,1058
2021-01-06T23,ERCO,SUN,885
2021-01-07T00,ERCO,SUN,521
2021-01-07T01,ERCO,SUN,0
2021-01-07T02,ERCO,SUN,0
2021-01-07T03,ERCO,SUN,0
2021-01-07T04,ERCO,SUN,0
2021-01-07T05,ERCO,SUN,0
2021-01-07T06,ERCO,SUN,0
2021-01-07T07,ERCO,SUN,0
2021-01-07T08,ERCO,SUN,0
2021-01-07T09,ERCO,SUN,0
2021-01-07T10,ERCO,SUN,0
2021-01-07T11,ERCO,SUN,0
2021-01-07T12,ERCO,SUN,0
2021-01-07T13,ERCO,SUN,0
2021-01-07T14,ERCO,SUN,12
2021-01-07T15,ERCO,SUN,1057
2021-01-07T16,ERCO,SUN,3458
2021-01-07T17,ERCO,SUN,3850
2021-01-07T18,ERCO,SUN,3726
2021-01-07T19,ERCO,SUN,3664
2021-01-07T20,ERCO,SUN,3742
2021-01-07T21,ERCO,SUN,3935
2021-01-07T22,ERCO,SUN,3983
2021-01-07T23,ERCO,SUN,3131
2021-01-08T00,ERCO,SUN,643
2021-01-08T01,ERCO,SUN,0
2021-01-08T02,ERCO,SUN,0
2021-01-08T03,ERCO,SUN,0
2021-01-08T04,ERCO,SUN,0
2021-01-08T05,ERCO,SUN,0
2021-01-08T06,ERCO,SUN,0
2021-01-08T07,ERCO,SUN,0
2021-01-08T08,ERCO,SUN,0
2021-01-08T09,ERCO,SUN,0
2021-01-08T10,ERCO,SUN,0
2021-01-08T11,ERCO,SUN,0
2021-01-08T12,ERCO,SUN,0
2021-01-08T13,ERCO,SUN,0
2021-01-08T14,ERCO,SUN,10
2021-01-08T15,ERCO,SUN,723
2021-01-08T16,ERCO,SUN,2039
2021-01-08T17,ERCO,SUN,2327
2021-01-08T18,ERCO,SUN,2877
2021-01-08T19,ERCO,SUN,3013
2021-01-08T20,ERCO,SUN,3128
2021-01-08T21,ERCO,SUN,3203
2021-01-08T22,ERCO,SUN,3084
2021-01-08T23,ERCO,SUN,2536
2021-01-09T00,ERCO,SUN,564
2021-01-09T01,ERCO,SUN,13
2021-01-09T02,ERCO,SUN,7
2021-01-09T03,ERCO,SUN,0
2021-01-09T04,ERCO,SUN,0
2021-01-09T05,ERCO,SUN,0
2021-01-09T06,ERCO,SUN,0
2021-01-09T07,ERCO,SUN,0
2021-01-09T08,ERCO,SUN,0
2021-01-09T09,ERCO,SUN,0
2021-01-09T10,ERCO,SUN,0
2021-01-09T11,ERCO,SUN,0
2021-01-09T12,ERCO,SUN,0
2021-01-09T13,ERCO,SUN,0
2021-01-09T14,ERCO,SUN,11
2021-01-09T15,ERCO,SUN,306
2021-01-09T16,ERCO,SUN,773
2021-01-09T17,ERCO,SUN,982
2021-01-09T18,ERCO,SUN,1262
2021-01-09T19,ERCO,SUN,1306
2021-01-09T20,ERCO,SUN,1287
2021-01-09T21,ERCO,SUN,926
2021-01-09T22,ERCO,SUN,767
2021-01-09T23,ERCO,SUN,355
2021-01-10T00,ERCO,SUN,37
2021-01-10T01,ERCO,SUN,0
2021-01-10T02,ERCO,SUN,0
2021-01-10T03,ERCO,SUN,0
2021-01-10T04,ERCO,SUN,0
2021-01-10T05,ERCO,SUN,0
2021-01-10T06,ERCO,SUN,0
2021-01-10T07,ERCO,SUN,0
2021-01-10T08,ERCO,SUN,0
2021-01-10T09,ERCO,SUN,0
2021-01-10T10,ERCO,SUN,0
2021-01-10T11,ERCO,SUN,0
2021-01-10T12,ERCO,SUN,0
2021-01-10T13,ERCO,SUN,0
2021-01-10T14,ERCO,SUN,0
2021-01-10T15,ERCO,SUN,56
2021-01-10T16,ERCO,SUN,189
2021-01-10T17,ERCO,SUN,493
2021-01-10T18,ERCO,SUN,712
2021-01-10T19,ERCO,SUN,745
2021-01-10T20,ERCO,SUN,854
2021-01-10T21,ERCO,SUN,899
2021-01-10T22,ERCO,SUN,761
2021-01-10T23,ERCO,SUN,442
2021-01-11T00,ERCO,SUN,97
2021-01-11T01,ERCO,SUN,0
2021-01-11T02,ERCO,SUN,0
2021-01-11T03,ERCO,SUN,0
2021-01-11T04,ERCO,SUN,0
2021-01-11T05,ERCO,SUN,0
2021-01-11T06,ERCO,SUN,0
2021-01-11T07,ERCO,SUN,0
2021-01-11T08,ERCO,SUN,0
2021-01-11T09,ERCO,SUN,0
2021-01-11T10,ERCO,SUN,0
2021-01-11T11,ERCO,SUN,0
2021-01-11T12,ERCO,SUN,0
2021-01-11T13,ERCO,SUN,0
2021-01-11T14,ERCO,SUN,3
2021-01-11T15,ERCO,SUN,405
2021-01-11T16,ERCO,SUN,1306
2021-01-11T17,ERCO,SUN,2053
2021-01-11T18,ERCO,SUN,2109
2021-01-11T19,ERCO,SUN,2292
2021-01-11T20,ERCO,SUN,2427
2021-01-11T21,ERCO,SUN,2319
2021-01-11T22,ERCO,SUN,1908
2021-01-11T23,ERCO,SUN,1379
2021-01-12T00,ERCO,SUN,298
2021-01-12T01,ERCO,SUN,0
2021-01-12T02,ERCO,SUN,0
