period,respondent,fueltype,value
2021-01-01T00,ERCO,WND,14127
2021-01-01T01,ERCO,WND,14791
2021-01-01T02,ERCO,WND,15591
2021-01-01T03,ERCO,WND,15447
2021-01-01T04,ERCO,WND,14994
2021-01-01T05,ERCO,WND,14558
2021-01-01T06,ERCO,WND,14126
2021-01-01T07,ERCO,WND,14012
2021-01-01T08,ERCO,WND,14315
2021-01-01T09,ERCO,WND,14248
2021-01-01T10,ERCO,WND,13273
2021-01-01T11,ERCO,WND,12248
2021-01-01T12,ERCO,WND,11364
2021-01-01T13,ERCO,WND,10727
2021-01-01T14,ERCO,WND,10329
2021-01-01T15,ERCO,WND,9890
2021-01-01T16,ERCO,WND,9905
2021-01-01T17,ERCO,WND,11026
2021-01-01T18,ERCO,WND,11061
2021-01-01T19,ERCO,WND,9929
2021-01-01T20,ERCO,WND,8832
2021-01-01T21,ERCO,WND,7334
2021-01-01T22,ERCO,WND,5825
2021-01-01T23,ERCO,WND,4311
2021-01-02T00,ERCO,WND,3342
2021-01-02T01,ERCO,WND,3505
2021-01-02T02,ERCO,WND,3566
2021-01-02T03,ERCO,WND,3775
2021-01-02T04,ERCO,WND,3561
2021-01-02T05,ERCO,WND,4099
2021-01-02T06,ERCO,WND,4588
2021-01-02T07,ERCO,WND,4062
2021-01-02T08,ERCO,WND,3062
2021-01-02T09,ERCO,WND,2703
2021-01-02T10,ERCO,WND,3133
2021-01-02T11,ERCO,WND,3341
2021-01-02T12,ERCO,WND,2987
2021-01-02T13,ERCO,WND,3051
2021-01-02T14,ERCO,WND,3596
2021-01-02T15,ERCO,WND,4386
2021-01-02T16,ERCO,WND,4178
2021-01-02T17,ERCO,WND,4448
2021-01-02T18,ERCO,WND,6229
2021-01-02T19,ERCO,WND,7958
2021-01-02T20,ERCO,WND,9084
2021-01-02T21,ERCO,WND,9705
2021-01-02T22,ERCO,WND,9945
2021-01-02T23,ERCO,WND,9814
2021-01-03T00,ERCO,WND,10645
2021-01-03T01,ERCO,WND,13363
2021-01-03T02,ERCO,WND,15305
2021-01-03T03,ERCO,WND,16277
2021-01-03T04,ERCO,WND,16412
2021-01-03T05,ERCO,WND,16098
2021-01-03T06,ERCO,WND,16174
2021-01-03T07,ERCO,WND,16436
2021-01-03T08,ERCO,WND,16272
2021-01-03T09,ERCO,WND,16582
2021-01-03T10,ERCO,WND,16702
2021-01-03T11,ERCO,WND,16729
2021-01-03T12,ERCO,WND,16121
2021-01-03T13,ERCO,WND,15793
2021-01-03T14,ERCO,WND,15702
2021-01-03T15,ERCO,WND,14777
2021-01-03T16,ERCO,WND,11076
2021-01-03T17,ERCO,WND,8249
2021-01-03T18,ERCO,WND,6589
2021-01-03T19,ERCO,WND,5508
2021-01-03T20,ERCO,WND,4612
2021-01-03T21,ERCO,WND,3795
2021-01-03T22,ERCO,WND,3495
2021-01-03T23,ERCO,WND,3291
2021-01-04T00,ERCO,WND,3747
2021-01-04T01,ERCO,WND,5506
2021-01-04T02,ERCO,WND,8229
2021-01-04T03,ERCO,WND,10565
2021-01-04T04,ERCO,WND,12340
2021-01-04T05,ERCO,WND,13227
2021-01-04T06,ERCO,WND,13869
2021-01-04T07,ERCO,WND,14145
2021-01-04T08,ERCO,WND,13925
2021-01-04T09,ERCO,WND,13512
2021-01-04T10,ERCO,WND,13484
2021-01-04T11,ERCO,WND,13473
2021-01-04T12,ERCO,WND,13955
2021-01-04T13,ERCO,WND,14409
2021-01-04T14,ERCO,WND,13864
2021-01-04T15,ERCO,WND,12175
2021-01-04T16,ERCO,WND,10129
2021-01-04T17,ERCO,WND,9112
2021-01-04T18,ERCO,WND,8160
2021-01-04T19,ERCO,WND,7655
2021-01-04T20,ERCO,WND,6900
2021-01-04T21,ERCO,WND,5611
2021-01-04T22,ERCO,WND,4667
2021-01-04T23,ERCO,WND,3840
2021-01-05T00,ERCO,WND,3061
2021-01-05T01,ERCO,WND,3487
2021-01-05T02,ERCO,WND,3383
2021-01-05T03,ERCO,WND,3109
2021-01-05T04,ERCO,WND,3385
2021-01-05T05,ERCO,WND,3586
2021-01-05T06,ERCO,WND,4029
2021-01-05T07,ERCO,WND,4533
2021-01-05T08,ERCO,WND,4442
2021-01-05T09,ERCO,WND,4542
2021-01-05T10,ERCO,WND,4721
2021-01-05T11,ERCO,WND,5010
2021-01-05T12,ERCO,WND,5649
2021-01-05T13,ERCO,WND,6098
2021-01-05T14,ERCO,WND,7355
2021-01-05T15,ERCO,WND,9193
2021-01-05T16,ERCO,WND,8932
2021-01-05T17,ERCO,WND,8538
2021-01-05T18,ERCO,WND,10412
2021-01-05T19,ERCO,WND,11472
2021-01-05T20,ERCO,WND,12875
2021-01-05T21,ERCO,WND,14391
2021-01-05T22,ERCO,WND,15048
2021-01-05T23,ERCO,WND,15006
2021-01-06T00,ERCO,WND,15452
2021-01-06T01,ERCO,WND,18556
2021-01-06T02,ERCO,WND,20077
2021-01-06T03,ERCO,WND,20784
2021-01-06T04,ERCO,WND,20922
2021-01-06T05,ERCO,WND,20775
2021-01-06T06,ERCO,WND,19994
2021-01-06T07,ERCO,WND,18910
2021-01-06T08,ERCO,WND,18204
2021-01-06T09,ERCO,WND,17631
2021-01-06T10,ERCO,WND,17218
2021-01-06T11,ERCO,WND,17731
2021-01-06T12,ERCO,WND,19141
2021-01-06T13,ERCO,WND,19639
2021-01-06T14,ERCO,WND,20043
2021-01-06T15,ERCO,WND,19414
2021-01-06T16,ERCO,WND,19364
2021-01-06T17,ERCO,WND,20463
2021-01-06T18,ERCO,WND,20134
2021-01-06T19,ERCO,WND,20167
2021-01-06T20,ERCO,WND,20195
2021-01-06T21,ERCO,WND,20095
2021-01-06T22,ERCO,WND,20392
2021-01-06T23,ERCO,WND,20857
2021-01-07T00,ERCO,WND,19426
2021-01-07T01,ERCO,WND,18158
2021-01-07T02,ERCO,WND,18804
2021-01-07T03,ERCO,WND,18719
2021-01-07T04,ERCO,WND,18417
2021-01-07T05,ERCO,WND,18319
2021-01-07T06,ERCO,WND,17760
2021-01-07T07,ERCO,WND,17130
2021-01-07T08,ERCO,WND,16311
2021-01-07T09,ERCO,WND,15968
2021-01-07T10,ERCO,WND,15155
2021-01-07T11,ERCO,WND,13935
2021-01-07T12,ERCO,WND,13155
2021-01-07T13,ERCO,WND,12743
2021-01-07T14,ERCO,WND,11670
2021-01-07T15,ERCO,WND,10170
2021-01-07T16,ERCO,WND,6987
2021-01-07T17,ERCO,WND,6319
2021-01-07T18,ERCO,WND,5569
2021-01-07T19,ERCO,WND,4781
2021-01-07T20,ERCO,WND,4523
2021-01-07T21,ERCO,WND,3986
2021-01-07T22,ERCO,WND,3310
2021-01-07T23,ERCO,WND,2667
2021-01-08T00,ERCO,WND,2374
2021-01-08T01,ERCO,WND,3232
2021-01-08T02,ERCO,WND,4752
2021-01-08T03,ERCO,WND,6006
2021-01-08T04,ERCO,WND,6992
2021-01-08T05,ERCO,WND,7776
2021-01-08T06,ERCO,WND,8258
2021-01-08T07,ERCO,WND,7827
2021-01-08T08,ERCO,WND,7414
2021-01-08T09,ERCO,WND,7133
2021-01-08T10,ERCO,WND,7041
2021-01-08T11,ERCO,WND,6343
2021-01-08T12,ERCO,WND,6697
2021-01-08T13,ERCO,WND,7370
2021-01-08T14,ERCO,WND,7095
2021-01-08T15,ERCO,WND,6515
2021-01-08T16,ERCO,WND,5710
2021-01-08T17,ERCO,WND,5105
2021-01-08T18,ERCO,WND,3340
2021-01-08T19,ERCO,WND,2045
2021-01-08T20,ERCO,WND,1579
2021-01-08T21,ERCO,WND,1544
2021-01-08T22,ERCO,WND,1838
2021-01-08T23,ERCO,WND,1994
2021-01-09T00,ERCO,WND,2183
2021-01-09T01,ERCO,WND,2991
2021-01-09T02,ERCO,WND,3830
2021-01-09T03,ERCO,WND,4344
2021-01-09T04,ERCO,WND,4588
2021-01-09T05,ERCO,WND,4491
2021-01-09T06,ERCO,WND,4279
2021-01-09T07,ERCO,WND,3949
2021-01-09T08,ERCO,WND,4360
2021-01-09T09,ERCO,WND,4205
2021-01-09T10,ERCO,WND,3963
2021-01-09T11,ERCO,WND,3666
2021-01-09T12,ERCO,WND,3886
2021-01-09T13,ERCO,WND,4023
2021-01-09T14,ERCO,WND,4509
2021-01-09T15,ERCO,WND,3906
2021-01-09T16,ERCO,WND,3479
2021-01-09T17,ERCO,WND,3791
2021-01-09T18,ERCO,WND,4415
2021-01-09T19,ERCO,WND,4279
2021-01-09T20,ERCO,WND,3925
2021-01-09T21,ERCO,WND,4089
2021-01-09T22,ERCO,WND,4979
2021-01-09T23,ERCO,WND,6549
2021-01-10T00,ERCO,WND,8072
2021-01-10T01,ERCO,WND,8579
2021-01-10T02,ERCO,WND,9421
2021-01-10T03,ERCO,WND,9473
2021-01-10T04,ERCO,WND,9862
2021-01-10T05,ERCO,WND,11897
2021-01-10T06,ERCO,WND,12362
2021-01-10T07,ERCO,WND,10491
2021-01-10T08,ERCO,WND,10577
2021-01-10T09,ERCO,WND,11630
2021-01-10T10,ERCO,WND,11186
2021-01-10T11,ERCO,WND,11125
2021-01-10T12,ERCO,WND,9720
2021-01-10T13,ERCO,WND,8985
2021-01-10T14,ERCO,WND,8181
2021-01-10T15,ERCO,WND,7974
2021-01-10T16,ERCO,WND,8248
2021-01-10T17,ERCO,WND,8702
2021-01-10T18,ERCO,WND,9161
2021-01-10T19,ERCO,WND,8946
2021-01-10T20,ERCO,WND,8564
2021-01-10T21,ERCO,WND,8422
2021-01-10T22,ERCO,WND,8381
2021-01-10T23,ERCO,WND,7937
2021-01-11T00,ERCO,WND,7958
2021-01-11T01,ERCO,WND,7861
2021-01-11T02,ERCO,WND,7926
2021-01-11T03,ERCO,WND,8151
2021-01-11T04,ERCO,WND,8127
2021-01-11T05,ERCO,WND,7620
2021-01-11T06,ERCO,WND,7188
2021-01-11T07,ERCO,WND,7207
