Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,567252,-,-,-,35.21,-101.82,-6,1121,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,Wind Speed,Cloud Type,Temperature
2022,1,1,0,30,0,5.300000000000001,7,8
2022,1,1,1,30,0,5.800000000000001,0,7.800000000000001
2022,1,1,2,30,0,5.800000000000001,8,7
2022,1,1,3,30,0,5.300000000000001,7,6
2022,1,1,4,30,0,5.1000000000000005,7,5.4
2022,1,1,5,30,0,4.5,4,5
2022,1,1,6,30,0,3.6,4,4.1000000000000005
2022,1,1,7,30,0,4.1000000000000005,0,2.4000000000000004
2022,1,1,8,30,48,5.9,0,0
2022,1,1,9,30,90,6.7,4,-2.7
2022,1,1,10,30,299,6.300000000000001,7,-4.3
2022,1,1,11,30,372,5.7,4,-4.6000000000000005
2022,1,1,12,30,448,5.4,4,-4.5
2022,1,1,13,30,453,5.300000000000001,0,-4.9
2022,1,1,14,30,147,5.6000000000000005,4,-5.800000000000001
2022,1,1,15,30,89,6.2,8,-6.7
2022,1,1,16,30,50,6.7,6,-7.6000000000000005
2022,1,1,17,30,11,7,8,-8.6
2022,1,1,18,30,0,7,7,-9.4
2022,1,1,19,30,0,6.7,7,-10
2022,1,1,20,30,0,6.300000000000001,7,-10.200000000000001
2022,1,1,21,30,0,5.9,7,-10
2022,1,1,22,30,0,5.6000000000000005,8,-9.5
2022,1,1,23,30,0,5.2,0,-9
2022,1,2,0,30,0,4.800000000000001,7,-8.700000000000001
2022,1,2,1,30,0,4.3,0,-8.200000000000001
2022,1,2,2,30,0,3.9000000000000004,0,-8
2022,1,2,3,30,0,3.4000000000000004,0,-7.9
2022,1,2,4,30,0,3,0,-8
2022,1,2,5,30,0,2.9000000000000004,0,-8
2022,1,2,6,30,0,3.1,0,-8
2022,1,2,7,30,0,3.2,0,-7.5
2022,1,2,8,30,68,3.5,0,-5.6000000000000005
2022,1,2,9,30,263,3.9000000000000004,0,-2.3000000000000003
2022,1,2,10,30,427,4,0,0.8
2022,1,2,11,30,536,3.6,0,3.1
2022,1,2,12,30,592,3.3000000000000003,0,4.7
2022,1,2,13,30,582,3,0,5.7
2022,1,2,14,30,509,2.7,0,6
2022,1,2,15,30,378,1.8,0,4.9
2022,1,2,16,30,207,1.1,0,2.7
2022,1,2,17,30,33,1,0,1.2000000000000002
2022,1,2,18,30,0,1,0,0.6000000000000001
2022,1,2,19,30,0,1.2000000000000002,0,-0.30000000000000004
2022,1,2,20,30,0,1.4000000000000001,0,-1.6
2022,1,2,21,30,0,1.5,0,-2.6
2022,1,2,22,30,0,1.6,0,-3.1
2022,1,2,23,30,0,1.7000000000000002,0,-3.2
2022,1,3,0,30,0,1.9000000000000001,0,-3.3000000000000003
2022,1,3,1,30,0,2.1,0,-3.3000000000000003
2022,1,3,2,30,0,2.2,0,-3.5
2022,1,3,3,30,0,2.2,0,-3.7
2022,1,3,4,30,0,2.2,0,-3.9000000000000004
2022,1,3,5,30,0,2.1,0,-4
2022,1,3,6,30,0,2.1,0,-4
2022,1,3,7,30,0,2.6,0,-3.1
2022,1,3,8,30,77,3.4000000000000004,0,-0.9
2022,1,3,9,30,257,3.4000000000000004,0,2.1
2022,1,3,10,30,419,3.9000000000000004,0,5.9
2022,1,3,11,30,536,5,0,9.1
2022,1,3,12,30,594,5.5,0,10.9
2022,1,3,13,30,585,5.7,0,11.9
2022,1,3,14,30,512,5.6000000000000005,0,12.200000000000001
2022,1,3,15,30,382,4.5,0,10.9
2022,1,3,16,30,210,3.2,0,7.1000000000000005
2022,1,3,17,30,34,3.2,0,3.8000000000000003
2022,1,3,18,30,0,4.1000000000000005,0,3.1
2022,1,3,19,30,0,4.7,0,2.6
2022,1,3,20,30,0,5,0,1.8
2022,1,3,21,30,0,5.2,0,1
2022,1,3,22,30,0,5.4,0,0.4
2022,1,3,23,30,0,5.4,0,-0.1
2022,1,4,0,30,0,5.5,0,-0.6000000000000001
2022,1,4,1,30,0,5.5,0,-0.9
2022,1,4,2,30,0,5.4,0,-1.1
2022,1,4,3,30,0,5.4,0,-1.1
2022,1,4,4,30,0,5.5,8,-1
2022,1,4,5,30,0,5.6000000000000005,7,-0.7000000000000001
2022,1,4,6,30,0,5.800000000000001,7,-0.4
2022,1,4,7,30,0,6.2,7,0.5
2022,1,4,8,30,28,6.6000000000000005,9,2.7
2022,1,4,9,30,174,6.9,7,6.5
2022,1,4,10,30,164,7.6000000000000005,6,11.100000000000001
2022,1,4,11,30,311,8.3,7,14.700000000000001
2022,1,4,12,30,486,8.1,8,16.7
2022,1,4,13,30,477,7.6000000000000005,8,18.1
2022,1,4,14,30,335,6.5,7,18.6
2022,1,4,15,30,234,4.4,6,17
2022,1,4,16,30,98,2.7,6,13.100000000000001
2022,1,4,17,30,16,2.6,6,10.3
2022,1,4,18,30,0,3.2,6,9.700000000000001
