Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,575848,-,-,-,32.25,-101.5,-6,756,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,GHI,Wind Speed,Cloud Type,Temperature
2023,1,1,0,30,0,4.2,7,9.3
2023,1,1,1,30,0,4,7,8.6
2023,1,1,2,30,0,3.8000000000000003,7,8.200000000000001
2023,1,1,3,30,0,3.4000000000000004,7,8.1
2023,1,1,4,30,0,3.2,7,8
2023,1,1,5,30,0,3.1,7,8
2023,1,1,6,30,0,3,6,8
2023,1,1,7,30,0,3.3000000000000003,6,8.5
2023,1,1,8,30,38,3.8000000000000003,6,10.100000000000001
2023,1,1,9,30,198,3.7,7,12.700000000000001
2023,1,1,10,30,326,3.7,3,16.2
2023,1,1,11,30,434,4.1000000000000005,8,19.900000000000002
2023,1,1,12,30,458,4.5,7,22.5
2023,1,1,13,30,455,4.6000000000000005,7,23.6
2023,1,1,14,30,423,4.5,7,23.700000000000003
2023,1,1,15,30,313,3.4000000000000004,7,22.5
2023,1,1,16,30,148,2.1,7,19.200000000000003
2023,1,1,17,30,25,1.8,7,16
2023,1,1,18,30,0,2.2,7,14.8
2023,1,1,19,30,0,2.8000000000000003,7,14.3
2023,1,1,20,30,0,3.3000000000000003,7,13.8
2023,1,1,21,30,0,3.6,7,13.3
2023,1,1,22,30,0,3.9000000000000004,7,12.9
2023,1,1,23,30,0,4.2,7,12.600000000000001
2023,1,2,0,30,0,4.5,7,12.200000000000001
2023,1,2,1,30,0,5,7,11.9
2023,1,2,2,30,0,5.300000000000001,0,11.5
2023,1,2,3,30,0,5.2,8,11
2023,1,2,4,30,0,4.7,8,10.200000000000001
2023,1,2,5,30,0,4.1000000000000005,7,9.5
2023,1,2,6,30,0,3.6,6,9.1
2023,1,2,7,30,0,3.6,6,9.4
2023,1,2,8,30,19,3.8000000000000003,6,10.8
2023,1,2,9,30,20,3.8000000000000003,6,12.9
2023,1,2,10,30,240,4.2,7,15.9
2023,1,2,11,30,556,5,0,19.400000000000002
2023,1,2,12,30,610,6,0,21.700000000000003
2023,1,2,13,30,599,6.800000000000001,0,22.3
2023,1,2,14,30,424,7.5,0,21.400000000000002
2023,1,2,15,30,391,8,0,19.400000000000002
2023,1,2,16,30,219,7.7,0,16.7
2023,1,2,17,30,44,6.5,0,14.200000000000001
2023,1,2,18,30,0,5.4,0,12.3
2023,1,2,19,30,0,4.800000000000001,0,10.9
2023,1,2,20,30,0,4.4,0,10
2023,1,2,21,30,0,4.3,5,9.5
2023,1,2,22,30,0,4.3,3,9.200000000000001
2023,1,2,23,30,0,4.4,3,8.8
2023,1,3,0,30,0,4.3,5,8
2023,1,3,1,30,0,4.3,0,7.1000000000000005
2023,1,3,2,30,0,4.4,0,6.5
2023,1,3,3,30,0,4.5,0,6.1000000000000005
2023,1,3,4,30,0,4.5,7,5.5
2023,1,3,5,30,0,4.4,7,5.2
2023,1,3,6,30,0,4.4,8,5.1000000000000005
2023,1,3,7,30,0,4.4,6,5.5
2023,1,3,8,30,18,4.5,6,7
2023,1,3,9,30,87,5,6,9.5
2023,1,3,10,30,61,6.1000000000000005,9,12.200000000000001
2023,1,3,11,30,175,7,9,14.100000000000001
2023,1,3,12,30,239,7.5,6,15.200000000000001
2023,1,3,13,30,261,7.6000000000000005,6,15.9
2023,1,3,14,30,233,7.4,6,16.1
2023,1,3,15,30,248,6.7,7,15.700000000000001
2023,1,3,16,30,132,4.9,7,13.700000000000001
2023,1,3,17,30,49,3.3000000000000003,0,10.9
2023,1,3,18,30,0,3.2,0,9.4
2023,1,3,19,30,0,3.7,0,9
2023,1,3,20,30,0,4.1000000000000005,3,8.5
2023,1,3,21,30,0,4.3,0,7.9
2023,1,3,22,30,0,4.3,0,7.4
2023,1,3,23,30,0,4.4,0,6.9
2023,1,4,0,30,0,4.6000000000000005,0,6.4
2023,1,4,1,30,0,4.7,0,6
2023,1,4,2,30,0,4.800000000000001,0,5.6000000000000005
2023,1,4,3,30,0,4.800000000000001,0,5.300000000000001
2023,1,4,4,30,0,4.800000000000001,0,4.9
2023,1,4,5,30,0,4.800000000000001,0,4.6000000000000005
2023,1,4,6,30,0,4.6000000000000005,0,4.2
2023,1,4,7,30,0,4.6000000000000005,0,4.5
2023,1,4,8,30,102,4.800000000000001,0,6.4
2023,1,4,9,30,295,5.7,0,9.8
