Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,566231,-,-,-,33.57,-101.86,-6,983,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,Wind Speed,Cloud Type,Temperature
2021,1,1,0,30,0,5,7,-0.2
2021,1,1,1,30,0,4.6000000000000005,7,-0.2
2021,1,1,2,30,0,4.3,7,-0.2
2021,1,1,3,30,0,4.1000000000000005,4,-0.30000000000000004
2021,1,1,4,30,0,3.6,0,-0.7000000000000001
2021,1,1,5,30,0,3.4000000000000004,0,-1.1
2021,1,1,6,30,0,3.1,4,-2
2021,1,1,7,30,0,3.4000000000000004,0,-2.3000000000000003
2021,1,1,8,30,83,4.6000000000000005,0,-0.6000000000000001
2021,1,1,9,30,276,5.4,0,1.9000000000000001
2021,1,1,10,30,414,5.300000000000001,0,4.3
2021,1,1,11,30,553,4.9,0,6.4
2021,1,1,12,30,609,4.5,0,7.9
2021,1,1,13,30,446,4.2,4,8.8
2021,1,1,14,30,264,3.8000000000000003,4,9.1
2021,1,1,15,30,225,3.1,4,8.700000000000001
2021,1,1,16,30,62,1.9000000000000001,4,6.800000000000001
2021,1,1,17,30,25,1.2000000000000002,8,4.7
2021,1,1,18,30,0,1.2000000000000002,8,4.1000000000000005
2021,1,1,19,30,0,1.2000000000000002,8,3.7
2021,1,1,20,30,0,1.2000000000000002,5,3.4000000000000004
2021,1,1,21,30,0,1.1,8,3.1
2021,1,1,22,30,0,1,7,3
2021,1,1,23,30,0,0.9,7,3.2
2021,1,2,0,30,0,0.7000000000000001,7,3.5
2021,1,2,1,30,0,0.7000000000000001,8,3.2
2021,1,2,2,30,0,0.8,4,2.3000000000000003
2021,1,2,3,30,0,1.1,8,1.2000000000000002
2021,1,2,4,30,0,1.3,5,0.6000000000000001
2021,1,2,5,30,0,1.5,0,0
2021,1,2,6,30,0,1.6,8,-0.7000000000000001
2021,1,2,7,30,0,2,7,-0.8
2021,1,2,8,30,66,3,4,0.7000000000000001
2021,1,2,9,30,273,3.6,0,3.7
