Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,556771,-,-,-,31.13,-102.22,-6,758,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,GHI,Wind Speed,Cloud Type,Temperature
2023,1,1,0,30,0,3.4000000000000004,7,10.3
2023,1,1,1,30,0,3.3000000000000003,7,10
2023,1,1,2,30,0,3,6,9.600000000000001
2023,1,1,3,30,0,2.7,7,9
2023,1,1,4,30,0,2.4000000000000004,7,8.6
2023,1,1,5,30,0,2.2,7,8.4
2023,1,1,6,30,0,2,6,8.4
2023,1,1,7,30,0,1.9000000000000001,8,9.200000000000001
2023,1,1,8,30,70,2.6,8,11.9
2023,1,1,9,30,218,3.1,8,15.200000000000001
2023,1,1,10,30,350,2.9000000000000004,8,18.6
2023,1,1,11,30,429,3.1,8,22
2023,1,1,12,30,488,3.6,8,24.200000000000003
2023,1,1,13,30,496,4.2,8,25.3
2023,1,1,14,30,440,4.7,8,25.6
2023,1,1,15,30,331,4.2,8,24.700000000000003
2023,1,1,16,30,210,2.9000000000000004,8,21.5
2023,1,1,17,30,40,2.4000000000000004,8,18
2023,1,1,18,30,0,2.6,7,16.2
2023,1,1,19,30,0,3,7,15.4
2023,1,1,20,30,0,3.7,7,14.700000000000001
2023,1,1,21,30,0,4.2,7,14
2023,1,1,22,30,0,4.4,7,13.3
2023,1,1,23,30,0,4.5,8,12.700000000000001
2023,1,2,0,30,0,4.3,0,12.100000000000001
2023,1,2,1,30,0,4.1000000000000005,0,11.5
2023,1,2,2,30,0,3.7,0,10.9
2023,1,2,3,30,0,3.3000000000000003,0,10.3
2023,1,2,4,30,0,2.9000000000000004,0,10
2023,1,2,5,30,0,2.7,7,10
2023,1,2,6,30,0,2.7,6,10.200000000000001
2023,1,2,7,30,0,2.7,6,11
2023,1,2,8,30,48,3.2,6,12.600000000000001
2023,1,2,9,30,139,3.7,8,14.9
2023,1,2,10,30,456,4.4,0,18.1
2023,1,2,11,30,577,5.4,0,21.3
2023,1,2,12,30,635,6,0,23
2023,1,2,13,30,625,6.300000000000001,0,23.3
2023,1,2,14,30,545,6.800000000000001,0,22.5
2023,1,2,15,30,413,7.4,0,20.5
2023,1,2,16,30,237,7.5,0,17.5
2023,1,2,17,30,57,6.6000000000000005,0,14.700000000000001
2023,1,2,18,30,0,5.6000000000000005,0,13.200000000000001
2023,1,2,19,30,0,5.1000000000000005,0,12.4
2023,1,2,20,30,0,4.800000000000001,0,11.9
2023,1,2,21,30,0,4.7,8,11.5
2023,1,2,22,30,0,4.6000000000000005,7,11.100000000000001
2023,1,2,23,30,0,4.4,8,10.3
2023,1,3,0,30,0,4.1000000000000005,0,9.1
2023,1,3,1,30,0,3.9000000000000004,7,7.9
2023,1,3,2,30,0,3.6,7,6.9
2023,1,3,3,30,0,3.5,7,6.300000000000001
2023,1,3,4,30,0,3.4000000000000004,0,6
2023,1,3,5,30,0,3.5,7,6.1000000000000005
2023,1,3,6,30,0,3.6,6,6.5
2023,1,3,7,30,0,3.6,9,7.2
2023,1,3,8,30,22,4,9,8.8
2023,1,3,9,30,79,5,9,11.200000000000001
2023,1,3,10,30,140,6.4,9,13.9
2023,1,3,11,30,189,7.300000000000001,7,15.5
2023,1,3,12,30,377,7.800000000000001,8,16.5
2023,1,3,13,30,293,7.9,6,17.1
2023,1,3,14,30,294,7.6000000000000005,6,17.2
2023,1,3,15,30,296,6.800000000000001,7,16.8
2023,1,3,16,30,237,5.1000000000000005,0,15.100000000000001
2023,1,3,17,30,57,3.5,0,12.4
2023,1,3,18,30,0,3.2,0,10.700000000000001
2023,1,3,19,30,0,3.5,3,10
2023,1,3,20,30,0,3.8000000000000003,0,9.4
2023,1,3,21,30,0,3.9000000000000004,0,8.8
2023,1,3,22,30,0,3.8000000000000003,0,8
2023,1,3,23,30,0,3.8000000000000003,0,7.300000000000001
2023,1,4,0,30,0,4,0,6.800000000000001
2023,1,4,1,30,0,4.1000000000000005,8,6.300000000000001
2023,1,4,2,30,0,4.2,0,5.9
2023,1,4,3,30,0,4.4,0,5.6000000000000005
2023,1,4,4,30,0,4.5,0,5.7
2023,1,4,5,30,0,4.3,0,6
2023,1,4,6,30,0,3.9000000000000004,7,6.1000000000000005
2023,1,4,7,30,0,3.8000000000000003,7,6.6000000000000005
2023,1,4,8,30,48,4.5,7,8.6
2023,1,4,9,30,231,5.6000000000000005,7,11.600000000000001
2023,1,4,10,30,468,6.4,0,14.3
2023,1,4,11,30,591,6.4,0,16.2
2023,1,4,12,30,651,6,0,17.400000000000002
2023,1,4,13,30,645,5.7,0,18.2
2023,1,4,14,30,570,5.300000000000001,0,18.7
2023,1,4,15,30,435,4.4,0,18.400000000000002
2023,1,4,16,30,257,2.8000000000000003,0,15.600000000000001
2023,1,4,17,30,67,1.9000000000000001,0,12
2023,1,4,18,30,0,2,0,10.4
2023,1,4,19,30,0,2.4000000000000004,0,9.8
2023,1,4,20,30,0,2.9000000000000004,0,9.3
2023,1,4,21,30,0,3.2,0,8.6
2023,1,4,22,30,0,3.1,0,7.6000000000000005
