Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,559920,-,-,-,32.01,-102.1,-6,864,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,GHI,Wind Speed,Cloud Type,Temperature
2023,1,1,0,30,0,4.3,7,8.700000000000001
2023,1,1,1,30,0,4.2,7,8.200000000000001
2023,1,1,2,30,0,3.9000000000000004,7,7.9
2023,1,1,3,30,0,3.4000000000000004,7,7.7
2023,1,1,4,30,0,3.2,7,7.6000000000000005
2023,1,1,5,30,0,3,7,7.6000000000000005
2023,1,1,6,30,0,2.8000000000000003,6,7.5
2023,1,1,7,30,0,3.1,6,8.1
2023,1,1,8,30,56,3.6,7,9.8
2023,1,1,9,30,218,3.7,7,12.3
2023,1,1,10,30,333,3.7,3,15.700000000000001
2023,1,1,11,30,456,4.2,7,19.3
2023,1,1,12,30,498,4.6000000000000005,7,21.8
2023,1,1,13,30,555,4.6000000000000005,8,22.900000000000002
2023,1,1,14,30,364,4.5,7,23.1
2023,1,1,15,30,307,3.3000000000000003,7,22.1
2023,1,1,16,30,166,1.9000000000000001,7,19.1
2023,1,1,17,30,29,1.9000000000000001,7,16.1
2023,1,1,18,30,0,2.4000000000000004,7,14.8
2023,1,1,19,30,0,3.1,7,14.200000000000001
2023,1,1,20,30,0,3.6,7,13.600000000000001
2023,1,1,21,30,0,4,7,13
2023,1,1,22,30,0,4.3,7,12.600000000000001
2023,1,1,23,30,0,4.7,7,12.100000000000001
2023,1,2,0,30,0,5,7,11.600000000000001
2023,1,2,1,30,0,5.300000000000001,7,11.100000000000001
2023,1,2,2,30,0,5.2,7,10.4
2023,1,2,3,30,0,4.9,7,9.600000000000001
2023,1,2,4,30,0,4.3,7,8.9
2023,1,2,5,30,0,3.8000000000000003,6,8.700000000000001
2023,1,2,6,30,0,3.3000000000000003,6,8.9
2023,1,2,7,30,0,3.3000000000000003,6,9.700000000000001
2023,1,2,8,30,29,3.7,6,11.4
2023,1,2,9,30,124,4.2,7,13.8
2023,1,2,10,30,441,4.9,0,17.1
2023,1,2,11,30,558,6.1000000000000005,0,20.200000000000003
2023,1,2,12,30,615,7,0,21.400000000000002
2023,1,2,13,30,592,7.7,0,21
2023,1,2,14,30,483,8.3,0,19.6
2023,1,2,15,30,401,8.5,0,17.5
2023,1,2,16,30,228,7.9,0,15.3
2023,1,2,17,30,53,6.6000000000000005,0,13.100000000000001
2023,1,2,18,30,0,5.5,0,11.4
2023,1,2,19,30,0,4.800000000000001,0,10.100000000000001
2023,1,2,20,30,0,4.5,0,9.4
2023,1,2,21,30,0,4.4,7,9.1
2023,1,2,22,30,0,4.4,7,8.9
2023,1,2,23,30,0,4.5,7,8.3
2023,1,3,0,30,0,4.4,0,7.4
2023,1,3,1,30,0,4.4,0,6.6000000000000005
2023,1,3,2,30,0,4.5,0,6
2023,1,3,3,30,0,4.6000000000000005,0,5.5
2023,1,3,4,30,0,4.5,7,5
2023,1,3,5,30,0,4.5,7,4.7
2023,1,3,6,30,0,4.6000000000000005,7,4.7
2023,1,3,7,30,0,4.6000000000000005,6,5.300000000000001
2023,1,3,8,30,35,4.6000000000000005,6,6.7
2023,1,3,9,30,49,5.300000000000001,6,9
2023,1,3,10,30,125,6.6000000000000005,9,11.8
2023,1,3,11,30,196,7.5,6,13.700000000000001
2023,1,3,12,30,313,7.9,6,14.8
2023,1,3,13,30,362,7.9,6,15.4
2023,1,3,14,30,307,7.6000000000000005,6,15.600000000000001
2023,1,3,15,30,140,6.9,6,15.200000000000001
2023,1,3,16,30,178,5.2,0,13.5
2023,1,3,17,30,56,4,0,11.100000000000001
2023,1,3,18,30,0,4.1000000000000005,0,9.700000000000001
2023,1,3,19,30,0,4.4,0,9
2023,1,3,20,30,0,4.5,0,8.3
2023,1,3,21,30,0,4.5,0,7.6000000000000005
2023,1,3,22,30,0,4.5,0,7
2023,1,3,23,30,0,4.6000000000000005,0,6.5
2023,1,4,0,30,0,4.7,0,5.9
2023,1,4,1,30,0,4.9,0,5.5
2023,1,4,2,30,0,4.9,0,5.1000000000000005
2023,1,4,3,30,0,4.800000000000001,0,4.6000000000000005
2023,1,4,4,30,0,4.7,0,4.2
2023,1,4,5,30,0,4.6000000000000005,0,3.9000000000000004
2023,1,4,6,30,0,4.3,0,3.5
2023,1,4,7,30,0,4.4,7,3.8000000000000003
2023,1,4,8,30,96,4.800000000000001,0,5.800000000000001
2023,1,4,9,30,290,5.5,0,9.200000000000001
2023,1,4,10,30,460,6.4,0,12.3
2023,1,4,11,30,580,6.7,0,14.3
2023,1,4,12,30,640,6.5,0,15.5
2023,1,4,13,30,632,6.4,0,16.3
2023,1,4,14,30,558,6.1000000000000005,0,16.7
2023,1,4,15,30,425,5.2,0,16.400000000000002
2023,1,4,16,30,248,3.3000000000000003,0,13.600000000000001
2023,1,4,17,30,55,2,0,10
2023,1,4,18,30,0,1.8,7,8.3
2023,1,4,19,30,0,1.9000000000000001,0,7.7
2023,1,4,20,30,0,2.1,0,7
2023,1,4,21,30,0,2.5,0,6.2
2023,1,4,22,30,0,2.8000000000000003,0,5.300000000000001
2023,1,4,23,30,0,2.9000000000000004,0,4.4
2023,1,5,0,30,0,2.7,0,3.6
2023,1,5,1,30,0,2.5,0,2.8000000000000003
2023,1,5,2,30,0,2.4000000000000004,0,2
2023,1,5,3,30,0,2.3000000000000003,0,1.4000000000000001
2023,1,5,4,30,0,2.2,0,0.8
2023,1,5,5,30,0,1.9000000000000001,0,0.1
2023,1,5,6,30,0,1.5,0,-0.6000000000000001
2023,1,5,7,30,0,1.7000000000000002,4,0.1
2023,1,5,8,30,66,1.8,5,2.2
2023,1,5,9,30,231,1,0,5.2
2023,1,5,10,30,439,0.6000000000000001,0,8.700000000000001
2023,1,5,11,30,566,1.5,0,11.9
2023,1,5,12,30,625,2.5,0,14.700000000000001
2023,1,5,13,30,572,3.2,0,16.5
